ticker,timeframe,timestamp,open,high,low,close,volume,candle_pattern,atr_period,atr_multiplier,atr_value,long_stop,short_stop,direction,buy_signal,sell_signal,ema_11,ema_22,ema_50,ema_200,obv,ma_period,ma_value,bb_std,upper_band,lower_band,rsi_14,pp,r1,r2,r3,s1,s2,s3
BTCUSDT,1h,2025-04-08 13:00:00,79837.99000000,80375.00000000,79381.02000000,79899.90000000,2851.38021000,Doji,22.0,3.00,2726.18793645,77873.80206355,80160.19793645,1.0,False,False,79544.58628399,79337.00445439,79610.42221123,81857.61024397,34890.07877200,14,35978.67322200,2.0000,,,54.08495324,84718.67000000,92831.34000000,103112.67000000,111225.34000000,74437.34000000,66324.67000000,56043.34000000
BTCUSDT,1h,2025-04-08 12:00:00,79982.00000000,80122.00000000,79559.90000000,79837.99000000,1309.14047000,Tweezer Top,22.0,3.00,2851.48069533,77748.50930467,80285.49069533,1.0,False,False,79492.23954079,79292.30773576,79602.42638311,81878.22622632,34892.27374200,14,36187.27916271,2.0000,,,54.34797792,84718.67000000,92831.34000000,103112.67000000,111225.34000000,74437.34000000,66324.67000000,56043.34000000
BTCUSDT,1h,2025-04-08 11:00:00,79003.54000000,80077.65000000,78961.78000000,79982.00000000,1430.93505000,Bullish Marubozu,22.0,3.00,2906.96549035,77714.00758154,79747.42063613,1.0,False,False,79423.08944895,79240.33799631,79592.81154161,81898.73111302,36201.41421200,14,36507.39621914,2.0000,,,55.48737242,84718.67000000,92831.34000000,103112.67000000,111225.34000000,74437.34000000,66324.67000000,56043.34000000
BTCUSDT,1h,2025-04-08 10:00:00,78900.00000000,79173.92000000,78819.65000000,79003.54000000,737.04745000,,22.0,3.00,2885.98241846,77714.00758154,79747.42063613,1.0,False,False,79311.30733874,79169.70351977,79576.92629841,81917.99474229,34770.47916200,14,36648.61564557,2.0000,,,48.70230227,84718.67000000,92831.34000000,103112.67000000,111225.34000000,74437.34000000,66324.67000000,56043.34000000
BTCUSDT,1h,2025-04-08 09:00:00,79154.01000000,79228.42000000,78860.49000000,78900.00000000,1054.87681000,,22.0,3.00,2972.80015267,77627.18984733,79747.42063613,1.0,False,False,79372.86080648,79185.52861689,79600.32982079,81947.28574473,34033.43171200,14,36820.82724771,2.0000,,,47.92228644,84718.67000000,92831.34000000,103112.67000000,111225.34000000,74437.34000000,66324.67000000,56043.34000000
BTCUSDT,1h,2025-04-08 08:00:00,79496.01000000,79528.35000000,78939.00000000,79154.02000000,1034.87124000,Bearish Engulfing,22.0,3.00,3061.80063613,77538.18936387,79747.42063613,1.0,False,False,79467.43296778,79212.72181849,79628.91471144,81977.91173211,35088.30852200,14,36989.35879343,2.0000,,,49.64189240,84718.67000000,92831.34000000,103112.67000000,111225.34000000,74437.34000000,66324.67000000,56043.34000000
BTCUSDT,1h,2025-04-08 07:00:00,79447.29000000,79714.21000000,79219.90000000,79496.00000000,855.65343000,Doji,22.0,3.00,3123.40780928,77476.58219072,79476.08580020,1.0,False,False,79530.11556133,79218.31246787,79648.29816905,82006.29255354,36123.17976200,14,37187.82256129,2.0000,,,51.97330905,84718.67000000,92831.34000000,103112.67000000,111225.34000000,74437.34000000,66324.67000000,56043.34000000
BTCUSDT,1h,2025-04-08 06:00:00,79872.24000000,79872.24000000,79279.50000000,79447.30000000,821.53728000,,22.0,3.00,3201.52580020,77398.46419980,79476.08580020,1.0,False,False,79536.93867360,79191.86603624,79654.51442084,82031.52162443,35267.52633200,14,37442.21186986,2.0000,,,51.67318325,84718.67000000,92831.34000000,103112.67000000,111225.34000000,74437.34000000,66324.67000000,56043.34000000
BTCUSDT,1h,2025-04-08 05:00:00,80299.99000000,80312.00000000,79536.00000000,79872.25000000,1021.79236000,,22.0,3.00,3269.30083831,77372.14012028,79536.19083831,1.0,False,False,79554.86640832,79167.53899208,79662.97215231,82057.49370106,36089.06361200,14,37519.97402557,2.0000,,,54.42916622,84718.67000000,92831.34000000,103112.67000000,111225.34000000,74437.34000000,66324.67000000,56043.34000000
BTCUSDT,1h,2025-04-08 04:00:00,79904.00000000,80413.49000000,79859.90000000,80300.00000000,603.14404000,Morning Star,22.0,3.00,3314.12468775,77372.14012028,78440.13468775,1.0,False,False,79491.38968999,79100.42365799,79654.43019934,82079.45594931,37110.85597200,14,37696.96428057,2.0000,,,57.28490868,84718.67000000,92831.34000000,103112.67000000,111225.34000000,74437.34000000,66324.67000000,56043.34000000
BTCUSDT,1h,2025-04-08 03:00:00,79947.05000000,80198.12000000,79759.90000000,79904.00000000,822.55347000,Doji,22.0,3.00,3392.85586336,77372.14012028,78202.86586336,1.0,False,False,79329.66762798,78986.17829208,79628.08041156,82097.33992870,36507.71193200,14,38169.49581986,2.0000,,,55.26731938,84718.67000000,92831.34000000,103112.67000000,111225.34000000,74437.34000000,66324.67000000,56043.34000000
BTCUSDT,1h,2025-04-08 02:00:00,80600.00000000,80867.99000000,79891.38000000,79947.05000000,1277.93081000,Tweezer Top,22.0,3.00,3491.81757114,77372.14012028,78301.82757114,1.0,False,False,79214.80115358,78898.76670085,79616.81838754,82119.38354607,37330.26540200,14,37606.64091771,2.0000,,,55.53210160,84718.67000000,92831.34000000,103112.67000000,111225.34000000,74437.34000000,66324.67000000,56043.34000000
BTCUSDT,1h,2025-04-08 01:00:00,79020.04000000,80811.07000000,78772.14000000,80599.99000000,1819.55645000,Morning Star,22.0,3.00,3518.57888405,77372.14012028,78328.58888405,1.0,False,False,79068.35138430,78798.93019617,79603.33954621,82141.21604402,38608.19621200,14,36645.75517414,2.0000,,,59.55018527,84718.67000000,92831.34000000,103112.67000000,111225.34000000,74437.34000000,66324.67000000,56043.34000000
BTCUSDT,1h,2025-04-08 00:00:00,79163.24000000,79599.99000000,79000.00000000,79020.04000000,1021.92218000,Shooting Star,22.0,3.00,3394.85454519,77372.14012028,78204.86454519,1.0,False,False,78762.02366116,78627.40069105,79562.65993586,82156.70575301,36788.63976200,14,35400.64804486,2.0000,,,51.69724805,84718.67000000,92831.34000000,103112.67000000,111225.34000000,74437.34000000,66324.67000000,56043.34000000
BTCUSDT,1h,2025-04-07 23:00:00,79956.47000000,80083.99000000,79090.90000000,79163.24000000,1563.35059000,,22.0,3.00,3470.80142830,77372.14012028,78280.81142830,1.0,False,False,78710.42039339,78590.00647114,79584.80768834,82188.23003193,37810.56194200,14,34390.70815771,2.0000,,,52.55597015,84718.67000000,92831.34000000,103112.67000000,111225.34000000,74437.34000000,66324.67000000,56043.34000000
BTCUSDT,1h,2025-04-07 22:00:00,79239.41000000,80218.88000000,79182.60000000,79956.47000000,1195.42635000,,22.0,3.00,3353.03041406,77372.14012028,78163.04041406,1.0,False,False,78500.50980540,78473.14497564,79573.93296413,82211.50676767,38179.02906200,14,33035.51106343,2.0000,,,53.85190051,84718.67000000,92831.34000000,103112.67000000,111225.34000000,74437.34000000,66324.67000000,56043.34000000
BTCUSDT,1h,2025-04-07 21:00:00,78955.26000000,79591.92000000,78684.22000000,79239.42000000,997.04459000,,22.0,3.00,3428.14534720,77372.14012028,78238.15534720,1.0,False,False,78277.96376648,78361.16793399,79570.00108032,82236.91529740,36984.42101200,14,31506.93952200,2.0000,,,51.40018800,84718.67000000,92831.34000000,103112.67000000,111225.34000000,74437.34000000,66324.67000000,56043.34000000
BTCUSDT,1h,2025-04-07 20:00:00,78130.43000000,79128.82000000,78102.91000000,78955.26000000,788.56824000,Bullish Engulfing,22.0,3.00,3550.15179230,77372.14012028,78360.16179230,1.0,False,False,78181.54985310,78323.47196082,79603.26054018,82271.91925324,37060.72975200,14,29862.12525414,2.0000,,,52.54701513,84718.67000000,92831.34000000,103112.67000000,111225.34000000,74437.34000000,66324.67000000,56043.34000000
BTCUSDT,1h,2025-04-07 19:00:00,78484.91000000,78961.92000000,78019.90000000,78130.44000000,1473.92792000,,22.0,3.00,3572.64806812,77372.14012028,78382.65806812,1.0,False,False,78037.06415706,78269.00225109,79632.36225890,82305.93733269,36836.82206200,14,27940.80359700,2.0000,,,48.36660078,84718.67000000,92831.34000000,103112.67000000,111225.34000000,74437.34000000,66324.67000000,56043.34000000
BTCUSDT,1h,2025-04-07 18:00:00,79076.08000000,79365.46000000,78277.77000000,78484.91000000,1817.82881000,,22.0,3.00,3608.19988089,77372.14012028,78418.20988089,1.0,False,False,77996.87498847,78271.95389405,79689.27459600,82346.82102447,37866.80127200,14,26664.39234629,2.0000,,,49.70044489,84718.67000000,92831.34000000,103112.67000000,111225.34000000,74437.34000000,66324.67000000,56043.34000000
BTCUSDT,1h,2025-04-07 17:00:00,77434.01000000,79200.00000000,77434.00000000,79074.50000000,3328.43357000,Tweezer Bottom,22.0,3.00,3624.63463713,77372.14012028,78354.96057223,1.0,False,False,77886.00465283,78244.75236015,79735.31155030,82384.84235980,39634.82471200,14,25566.02513129,2.0000,,,52.55027985,84718.67000000,92831.34000000,103112.67000000,111225.34000000,74437.34000000,66324.67000000,56043.34000000
BTCUSDT,1h,2025-04-07 16:00:00,78479.91000000,78584.21000000,77313.20000000,77434.01000000,2210.73067000,Bearish Marubozu,22.0,3.00,3544.95057223,77372.14012028,78354.96057223,1.0,False,False,77664.22158340,78173.30782302,79765.53161358,82418.91193126,36456.19651200,14,24477.97555057,2.0000,,,43.41523648,84718.67000000,92831.34000000,103112.67000000,111225.34000000,74437.34000000,66324.67000000,56043.34000000
BTCUSDT,1h,2025-04-07 15:00:00,79033.11000000,79376.00000000,77530.00000000,78479.90000000,5159.37034000,,22.0,3.00,3532.18488519,77372.14012028,78342.19488519,1.0,False,False,77710.26390008,78243.71713950,79860.69576107,82469.01144815,38666.92718200,14,23790.93609986,2.0000,,,49.32341425,84718.67000000,92831.34000000,103112.67000000,111225.34000000,74437.34000000,66324.67000000,56043.34000000
BTCUSDT,1h,2025-04-07 14:00:00,78365.48000000,81243.58000000,77870.01000000,79033.11000000,15098.55422000,,22.0,3.00,3436.66987972,77372.14012028,78246.67987972,1.0,False,False,77556.33668009,78221.22353374,79917.05477173,82509.10302050,43826.29752200,14,23032.33706414,2.0000,,,52.85628148,84718.67000000,92831.34000000,103112.67000000,111225.34000000,74437.34000000,66324.67000000,56043.34000000
BTCUSDT,1h,2025-04-07 13:00:00,77335.88000000,78498.93000000,75789.01000000,78365.47000000,4749.87831000,,22.0,3.00,3118.38225495,78851.61774505,77419.21411300,1.0,True,False,77260.98201611,78143.90101314,79953.13415017,82544.03762372,28727.74330200,14,21760.57194914,2.0000,,,48.74190230,84718.67000000,92831.34000000,103112.67000000,111225.34000000,74437.34000000,66324.67000000,56043.34000000
BTCUSDT,1h,2025-04-07 12:00:00,76685.62000000,77666.00000000,76410.62000000,77335.89000000,2701.16859000,Tweezer Bottom,22.0,3.00,2879.74521947,79668.61478053,77419.21411300,-1.0,False,False,77040.08441933,78122.79920487,80017.93676854,82586.03327823,23977.86499200,14,21756.27803843,2.0000,,,41.42117556,84718.67000000,92831.34000000,103112.67000000,111225.34000000,74437.34000000,66324.67000000,56043.34000000
BTCUSDT,1h,2025-04-07 11:00:00,76983.61000000,77400.00000000,76423.27000000,76685.62000000,1472.78494000,,22.0,3.00,2837.53594421,79829.53405579,77419.21411300,-1.0,False,False,76980.92330320,78197.74293867,80127.40806522,82638.79853730,21276.69640200,14,21809.96605700,2.0000,,,36.06601598,84718.67000000,92831.34000000,103112.67000000,111225.34000000,74437.34000000,66324.67000000,56043.34000000
BTCUSDT,1h,2025-04-07 10:00:00,76274.55000000,77577.88000000,76143.82000000,76983.60000000,2616.79525000,,22.0,3.00,2833.12384631,79833.94615369,77419.21411300,-1.0,False,False,77039.98396384,78341.75464711,80267.88921073,82698.62947738,22749.48134200,14,22358.34103271,2.0000,,,37.52573647,84718.67000000,92831.34000000,103112.67000000,111225.34000000,74437.34000000,66324.67000000,56043.34000000
BTCUSDT,1h,2025-04-07 09:00:00,76266.88000000,76792.00000000,75744.08000000,76274.56000000,2059.59344000,Doji,22.0,3.00,2763.16879137,79934.82120863,77419.21411300,-1.0,False,False,77051.26075661,78471.10270874,80401.94183158,82756.06695956,20132.68609200,14,22705.62050771,2.0000,,,31.39013667,84718.67000000,92831.34000000,103112.67000000,111225.34000000,74437.34000000,66324.67000000,56043.34000000
BTCUSDT,1h,2025-04-07 08:00:00,75126.01000000,76843.47000000,75085.74000000,76266.89000000,3895.35955000,,22.0,3.00,2745.04540049,80110.94459951,77419.21411300,-1.0,False,False,77206.60090793,78680.29725243,80570.40639614,82821.20773303,18073.09265200,14,23402.64790343,2.0000,,,31.32238640,84718.67000000,92831.34000000,103112.67000000,111225.34000000,74437.34000000,66324.67000000,56043.34000000
BTCUSDT,1h,2025-04-07 07:00:00,74810.00000000,75491.06000000,74508.00000000,75126.01000000,4359.45526000,Tweezer Bottom,22.0,3.00,2624.65756241,80245.59243759,77419.21411300,-1.0,False,False,77394.54308951,78910.14556219,80746.06012659,82887.08027306,14177.73310200,14,24111.64405057,2.0000,,,20.47607145,84718.67000000,92831.34000000,103112.67000000,111225.34000000,74437.34000000,66324.67000000,56043.34000000
BTCUSDT,1h,2025-04-07 06:00:00,76942.82000000,77299.99000000,74555.00000000,74810.01000000,9248.78671000,,22.0,3.00,2609.20411300,80465.94588700,77419.21411300,-1.0,False,False,77848.24970742,79270.53942525,80975.44992767,82965.08097932,9818.27784200,14,25416.43212771,2.0000,,,17.10912530,84718.67000000,92831.34000000,103112.67000000,111225.34000000,74437.34000000,66324.67000000,56043.34000000
